"","teams","PTS","FGM","FGA","FG","X3PM","X3PA","X3P","FTM","FTA","FT","OR","DR","REB","AST","STL","BLK","TO","PF","season","playoffs"
"389","Memphis Grizzlies",100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32,42.8,21.3,8,4.2,12.4,22.4,2017,1
"390","Dallas Mavericks",97.9,36.2,82.3,44,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,7.5,3.7,11.2,19.1,2017,0
"391","Golden State Warriors",113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,8,7.5,15,19.6,2018,1
"392","Houston Rockets",112.4,38.7,84.2,46,15.3,42.3,36.2,19.6,25.1,78.1,9,34.5,43.5,21.5,8.5,4.8,13.2,19.5,2018,1
"393","New Orleans Pelicans",111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.7,44.3,26.8,8,5.9,14.4,19.1,2018,1
"394","Toronto Raptors",111.7,41.3,87.4,47.2,11.8,33,35.8,17.3,21.8,79.4,9.8,34.2,44,24.3,7.6,6.1,12.7,21.7,2018,1
"395","Cleveland Cavaliers",110.9,40.4,84.8,47.6,12,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,7.1,3.8,13.3,18.6,2018,1
"396","Denver Nuggets",110,40.7,86.6,47,11.5,30.9,37.1,17.1,22.3,76.7,11,33.5,44.5,25.1,7.6,4.9,14.3,18.7,2018,0
"397","Philadelphia 76ers",109.8,40.8,86.6,47.2,11,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,8.3,5.1,15.9,22.1,2018,1
"398","Minnesota Timberwolves",109.5,41,86.1,47.6,8,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42,22.7,8.4,4.2,11.7,18.2,2018,1
